000 000 000 000 000 000 000 044 078 060 01d 000
000 000 000 000 000 000 018 133 1c3 0fb 020 000
000 000 000 000 000 00a 0ac 2c9 30a 0ba 000 000
000 000 000 000 000 03a 204 313 29b 02a 000 000
000 000 000 000 012 12a 30c 305 0b9 000 000 000
000 000 000 005 09c 29c 2fd 1b9 000 000 000 000
000 000 000 037 207 30f 2aa 036 000 000 000 000
000 000 000 118 323 32e 0fa 000 000 000 000 000
000 000 034 26f 33c 265 008 000 000 000 000 000
000 000 0b0 313 342 0da 000 000 000 000 000 000
000 000 0fa 31f 2b4 025 000 000 000 000 000 000
000 000 0df 1f9 11a 000 000 000 000 000 000 000
